Rank,University,Overall,Teaching,Research,Citations,Industry_income,International_outlook
1,University of Oxford,95.4,90.5,99.6,98.4,65.5,96.4
2,California Institute of Technology,94.5,92.1,97.2,97.9,88.0,82.5
3,University of Cambridge,94.4,91.4,98.7,95.8,59.3,95.0
4,Stanford University,94.3,92.8,96.4,99.9,66.2,79.5
5,Massachusetts Institute of Technology,93.6,90.5,92.4,99.5,86.9,89.0
6,Princeton University,93.2,90.3,96.3,98.8,58.6,81.1
7,Harvard University,93.0,89.2,98.6,99.1,47.3,76.3
8,Yale University,91.7,92.0,94.8,97.3,52.4,68.7
9,The University of Chicago,90.2,89.1,91.4,96.7,52.7,76.0
10,Imperial College London,89.8,84.5,87.6,97.0,69.9,97.1
11,University of Pennsylvania,89.6,87.5,90.4,98.2,74.0,65.0
12,Johns Hopkins University,89.2,81.7,91.4,98.3,91.3,73.2
=13,"University of California, Berkeley",88.3,83.0,90.6,99.2,46.1,70.4
=13,ETH Zurich,88.3,81.8,92.8,90.3,56.8,98.2
15,UCL,87.1,77.8,88.7,96.1,42.7,96.2
16,Columbia University,87.0,85.6,82.6,98.2,44.8,79.3
17,"University of California, Los Angeles",86.8,83.1,88.6,97.3,51.3,64.1
18,University of Toronto,85.5,76.6,89.5,93.6,50.5,84.7
19,Cornell University,85.1,79.7,86.0,96.6,37.1,73.4
20,Duke University,84.0,82.4,76.8,97.0,99.9,61.5
21,University of Michigan-Ann Arbor,83.8,79.4,86.1,94.9,47.7,59.2
22,Northwestern University,83.5,74.2,83.8,97.8,78.4,64.1
23,Tsinghua University,82.6,86.6,94.0,74.6,100.0,47.4
24,Peking University,82.3,89.1,90.0,73.2,86.6,59.6
25,National University of Singapore,81.9,76.8,90.4,76.9,58.8,95.5
26,University of Washington,81.6,72.2,82.2,98.6,47.5,60.4
=27,Carnegie Mellon University,81.3,65.9,82.7,98.2,50.5,80.6
=27,London School of Economics and Political Science,81.3,69.0,83.0,92.8,35.1,93.2
29,New York University,81.1,76.8,77.5,96.5,38.7,65.4
30,University of Edinburgh,79.4,67.3,74.1,96.4,38.9,93.8
31,"University of California, San Diego",78.8,62.6,78.9,97.7,90.3,63.7
=32,LMU Munich,77.8,68.4,77.0,88.8,100.0,67.2
=32,University of Melbourne,77.8,65.9,74.1,89.8,76.3,93.1
34,University of British Columbia,76.3,61.5,73.2,92.5,43.8,94.4
35,University of Hong Kong,75.9,69.5,77.2,76.6,59.7,98.6
=36,King’s College London,75.7,61.3,68.5,94.8,45.6,95.6
=36,The University of Tokyo,75.7,85.9,89.6,60.7,77.4,38.2
=38,École Polytechnique Fédérale de Lausanne,75.4,66.6,66.3,88.3,66.4,98.6
=38,Georgia Institute of Technology,75.4,60.2,76.4,90.4,61.6,77.1
=38,University of Texas at Austin,75.4,68.2,76.2,93.2,46.6,39.1
41,Karolinska Institute,74.7,55.4,71.4,96.1,71.2,81.2
42,McGill University,74.3,65.0,71.9,84.7,42.8,90.4
43,Technical University of Munich,74.1,64.6,70.4,85.5,100.0,72.9
44,Heidelberg University,73.5,67.1,60.3,96.2,54.6,67.5
=45,KU Leuven,73.2,58.7,73.9,85.3,99.3,71.8
=45,Paris Sciences et Lettres – PSL Research University Paris,73.2,71.6,71.4,77.0,52.2,78.7
47,The Hong Kong University of Science and Technology,73.1,57.4,66.1,89.8,71.9,97.7
=48,University of Illinois at Urbana-Champaign,72.9,63.2,78.0,84.4,47.9,54.3
=48,"Nanyang Technological University, Singapore",72.9,57.6,70.4,84.9,76.5,95.1
50,Australian National University,72.1,54.4,69.7,88.4,46.4,95.5
51,University of Wisconsin-Madison,72.0,68.8,70.3,85.3,46.3,47.4
52,Washington University in St Louis,71.5,64.2,57.5,98.8,40.7,57.1
53,Brown University,70.0,64.0,56.1,94.9,36.5,61.4
