Rank,University,Country,FTE_students,Staff_students,International_students_pct,Female_male_ratio,Overall,Teaching,Research,Citations,Industry_income,International_outlook
1,University of Oxford,United Kingdom,"20,664",11.2,41%,46 : 54,95.4,90.5,99.6,98.4,65.5,96.4
2,California Institute of Technology,United States,"2,240",6.4,30%,34 : 66,94.5,92.1,97.2,97.9,88.0,82.5
3,University of Cambridge,United Kingdom,"18,978",10.9,37%,47 : 53,94.4,91.4,98.7,95.8,59.3,95.0
4,Stanford University,United States,"16,135",7.3,23%,43 : 57,94.3,92.8,96.4,99.9,66.2,79.5
5,Massachusetts Institute of Technology,United States,"11,247",8.6,34%,39 : 61,93.6,90.5,92.4,99.5,86.9,89.0
6,Princeton University,United States,"7,983",8.1,25%,45 : 55,93.2,90.3,96.3,98.8,58.6,81.1
7,Harvard University,United States,"20,823",9.2,24%,49 : 51,93.0,89.2,98.6,99.1,47.3,76.3
8,Yale University,United States,"12,402",5.4,20%,50 : 50,91.7,92.0,94.8,97.3,52.4,68.7
9,The University of Chicago,United States,"13,833",5.7,28%,46 : 54,90.2,89.1,91.4,96.7,52.7,76.0
10,Imperial College London,United Kingdom,"16,760",11.7,56%,38 : 62,89.8,84.5,87.6,97.0,69.9,97.1
11,University of Pennsylvania,United States,"20,578",6.5,21%,52 : 48,89.6,87.5,90.4,98.2,74.0,65.0
12,Johns Hopkins University,United States,"16,171",4.5,26%,52 : 48,89.2,81.7,91.4,98.3,91.3,73.2
=13,"University of California, Berkeley",United States,"41,081",13.7,17%,50 : 50,88.3,83.0,90.6,99.2,46.1,70.4
=13,ETH Zurich,Switzerland,"18,956",12.5,39%,32 : 68,88.3,81.8,92.8,90.3,56.8,98.2
15,UCL,United Kingdom,"32,665",10.6,52%,57 : 43,87.1,77.8,88.7,96.1,42.7,96.2
16,Columbia University,United States,"26,586",5.8,37%,n/a,87.0,85.6,82.6,98.2,44.8,79.3
17,"University of California, Los Angeles",United States,"41,066",9.4,17%,54 : 46,86.8,83.1,88.6,97.3,51.3,64.1
18,University of Toronto,Canada,"73,370",20.1,21%,59 : 41,85.5,76.6,89.5,93.6,50.5,84.7
19,Cornell University,United States,"22,319",9.8,25%,49 : 51,85.1,79.7,86.0,96.6,37.1,73.4
